timestamp,experiment_id,tag,model,fold,cleaning,nlp_method,embedding,epochs,batch_size,train_time_sec,f1_macro,recall_neg,precision_pos,notes
2025-11-17T12:51:07.837040+00:00,C01,C01_GRU_20251117-075013,gru,1,baseline,keras_tokenizer,learned,30,128,53.66823605000536,0.09461715859819415,0.9966329966329966,0.9,GRU baseline lr5e-4 w1p2
2025-11-17T12:51:48.392085+00:00,C01,C01_GRU_20251117-075013,gru,2,baseline,keras_tokenizer,learned,30,128,43.92688274399552,0.1109793752665355,0.05955056179775281,1.0,GRU baseline lr5e-4 w1p2
2025-11-17T12:52:15.856414+00:00,C01,C01_GRU_20251117-075013,gru,3,baseline,keras_tokenizer,learned,30,128,29.839319979997526,0.08540856964637013,1.0,0.0,GRU baseline lr5e-4 w1p2
2025-11-17T12:53:27.817051+00:00,C01,C01_SRN_BI_20251117-075222,simple_rnn,1,baseline,keras_tokenizer,learned,30,128,67.1473937510018,0.7267111844805,0.7384960718294051,0.9417319207738369,Bidirectional SimpleRNN baseline
2025-11-17T12:54:27.893522+00:00,C01,C01_SRN_BI_20251117-075222,simple_rnn,2,baseline,keras_tokenizer,learned,30,128,64.99010615499719,0.7314048074668983,0.8033707865168539,0.9535214607540906,Bidirectional SimpleRNN baseline
2025-11-17T12:55:26.175961+00:00,C01,C01_SRN_BI_20251117-075222,simple_rnn,3,baseline,keras_tokenizer,learned,30,128,63.19359122100286,0.7424026068420763,0.7898876404494382,0.9414746543778801,Bidirectional SimpleRNN baseline
2025-11-17T13:05:37.380181+00:00,C02,C02_SRN_BI_20251117-080430,simple_rnn,1,baseline,keras_tokenizer,word2vec,30,128,67.36891223699786,0.7608847240954265,0.8619528619528619,0.9263319447489585,Bidirectional SimpleRNN C02
2025-11-17T13:06:31.443182+00:00,C02,C02_SRN_BI_20251117-080430,simple_rnn,2,baseline,keras_tokenizer,word2vec,30,128,58.43544013600331,0.7440265039068166,0.8303370786516854,0.9241861481319642,Bidirectional SimpleRNN C02
2025-11-17T13:07:35.723516+00:00,C02,C02_SRN_BI_20251117-080430,simple_rnn,3,baseline,keras_tokenizer,word2vec,30,128,69.69870581799478,0.7484089911057179,0.7865168539325843,0.9325071918566055,Bidirectional SimpleRNN C02
2025-11-17T13:27:20.529026+00:00,C01,C01_LSTM_BI_TEST_20251117-082642,lstm,1,baseline,keras_tokenizer,learned,20,256,38.26295272900461,0.7814048227079216,0.8069584736251403,0.95311027332705,BiLSTM C01 fold1 cuDNN test
2025-11-17T13:41:59.743081+00:00,C01,C01_LSTM_BI_20251117-084113,lstm,1,baseline,keras_tokenizer,learned,20,256,47.846107803008636,0.7757159955125948,0.7362514029180696,0.9475871623181713,BiLSTM C01 receta cuDNN
2025-11-17T13:42:38.251074+00:00,C01,C01_LSTM_BI_20251117-084113,lstm,2,baseline,keras_tokenizer,learned,20,256,41.879564453993225,0.790734397873515,0.8101123595505618,0.965096820463782,BiLSTM C01 receta cuDNN
2025-11-17T13:43:12.971663+00:00,C01,C01_LSTM_BI_20251117-084113,lstm,3,baseline,keras_tokenizer,learned,20,256,37.15477733401349,0.7711531154887438,0.8382022471910112,0.9613702623906706,BiLSTM C01 receta cuDNN
2025-11-17T13:45:23.497335+00:00,C02,C02_LSTM_BI_20251117-084446,lstm,1,baseline,keras_tokenizer,word2vec,20,256,37.79548706400965,0.7849367625626752,0.7620650953984287,0.9611071343354808,BiLSTM C02 receta cuDNN
2025-11-17T13:46:02.565536+00:00,C02,C02_LSTM_BI_20251117-084446,lstm,2,baseline,keras_tokenizer,word2vec,20,256,41.78995053599647,0.7910182820728836,0.7955056179775281,0.9459521094640821,BiLSTM C02 receta cuDNN
2025-11-17T13:47:45.780243+00:00,C02,C02_LSTM_BI_20251117-084446,lstm,3,baseline,keras_tokenizer,word2vec,20,256,112.95051433901244,0.7557138602685404,0.8426966292134831,0.9478344101459679,BiLSTM C02 receta cuDNN
2025-11-17T13:53:42.151668+00:00,C03,C03_LSTM_BI_20251117-085119,lstm,1,lemmatize,keras_tokenizer,learned,20,256,65.9678288300056,0.7769918607410083,0.7328843995510662,0.9561032863849765,BiLSTM C03 receta cuDNN
2025-11-17T13:52:59.021555+00:00,C03,C03_LSTM_BI_20251117-085119,lstm,2,lemmatize,keras_tokenizer,learned,20,256,39.291090714003076,0.7845181204174126,0.7910112359550562,0.9616867469879518,BiLSTM C03 receta cuDNN
2025-11-17T13:53:35.791410+00:00,C03,C03_LSTM_BI_20251117-085119,lstm,3,lemmatize,keras_tokenizer,learned,20,256,39.530870720991516,0.7706844088068893,0.7471910112359551,0.9573039098105062,BiLSTM C03 receta cuDNN
2025-11-17T14:01:07.730461+00:00,C04,C04_LSTM_BI_20251117-090027,lstm,1,lemmatize,keras_tokenizer,word2vec,20,256,39.91492483099864,0.7663387963851052,0.7946127946127947,0.9505966587112172,BiLSTM C04 receta cuDNN
2025-11-17T14:01:13.570783+00:00,C01,C01_LSTM_BI_20251117-080742,lstm,1,baseline,keras_tokenizer,learned,20,128,3484.588063618008,0.7474713151868979,0.7396184062850729,0.9552567237163814,Bidirectional LSTM C01 fold1 test
